iR,iZ,start,length
27,6,1100385,1000
27,7,1101385,1000
27,8,1102385,1000
27,9,1103385,1000
27,10,1104385,1000
27,11,1105385,1000
27,12,1106385,1000
27,13,1107385,1000
27,14,1108385,1000
27,15,1109385,1000
27,16,1110385,1000
27,17,1111385,1000
27,18,1112385,1000
27,19,1113385,1000
27,20,1114385,1000
27,21,1115385,1000
27,22,1116385,1000
27,23,1117385,1000
27,24,1118385,1000
27,25,1119385,1000
27,26,1120385,1000
27,27,1121385,1000
27,28,1122385,1000
27,29,1123385,1000
27,30,1124385,1000
27,31,1125385,1000
27,32,1126385,1000
27,33,1127385,1000
27,34,1128385,1000
27,35,1129385,1000
27,36,1130385,1000
27,37,1131385,1000
27,38,1132385,1000
27,39,1133385,1000
28,0,1134385,1000
28,1,1135385,1000
28,2,1136385,1000
28,3,1137385,1000
28,4,1138385,1000
28,5,1139385,1000
28,6,1140385,1000
28,7,1141385,1000
28,8,1142385,1000
28,9,1143385,1000
28,10,1144385,1000
28,11,1145385,1000
28,12,1146385,1000
28,13,1147385,1000
28,14,1148385,1000
28,15,1149385,1000
28,16,1150385,1000
28,17,1151385,1000
28,18,1152385,1000
28,19,1153385,1000
28,20,1154385,1000
28,21,1155385,1000
28,22,1156385,1000
28,23,1157385,1000
28,24,1158385,1000
28,25,1159385,1000
28,26,1160385,1000
28,27,1161385,1000
28,28,1162385,1000
28,29,1163385,1000
28,30,1164385,1000
28,31,1165385,1000
28,32,1166385,1000
28,33,1167385,1000
28,34,1168385,1000
28,35,1169385,1000
28,36,1170385,1000
28,37,1171385,1000
28,38,1172385,1000
28,39,1173385,1000
29,0,1174385,1000
29,1,1175385,1000
29,2,1176385,1000
29,3,1177385,1000
29,4,1178385,1000
29,5,1179385,1000
29,6,1180385,1000
29,7,1181385,1000
29,8,1182385,1000
29,9,1183385,1000
29,10,1184385,1000
29,11,1185385,1000
29,12,1186385,1000
29,13,1187385,1000
29,14,1188385,1000
29,15,1189385,1000
29,16,1190385,1000
29,17,1191385,1000
29,18,1192385,1000
29,19,1193385,1000
29,20,1194385,1000
29,21,1195385,1000
29,22,1196385,1000
29,23,1197385,1000
29,24,1198385,1000
29,25,1199385,1000
29,26,1200385,1000
29,27,1201385,1000
29,28,1202385,1000
29,29,1203385,1000
29,30,1204385,1000
29,31,1205385,1000
29,32,1206385,1000
29,33,1207385,1000
29,34,1208385,1000
29,35,1209385,1000
29,36,1210385,1000
29,37,1211385,1000
29,38,1212385,1000
29,39,1213385,1000
30,0,1214385,1000
30,1,1215385,1000
30,2,1216385,1000
30,3,1217385,1000
30,4,1218385,1000
30,5,1219385,1000
30,6,1220385,1000
30,7,1221385,1000
30,8,1222385,1000
30,9,1223385,1000
30,10,1224385,1000
30,11,1225385,1000
30,12,1226385,1000
30,13,1227385,1000
30,14,1228385,1000
30,15,1229385,1000
30,16,1230385,1000
30,17,1231385,1000
30,18,1232385,1000
30,19,1233385,1000
30,20,1234385,1000
30,21,1235385,1000
30,22,1236385,1000
30,23,1237385,1000
30,24,1238385,1000
30,25,1239385,1000
30,26,1240385,1000
30,27,1241385,1000
30,28,1242385,1000
30,29,1243385,1000
30,30,1244385,1000
30,31,1245385,1000
30,32,1246385,1000
30,33,1247385,1000
30,34,1248385,1000
30,35,1249385,1000
30,36,1250385,1000
